ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
18398,Celeste Andrea Carnevale,F,18.0,156.0,49.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,
106389,Saynjargalyn Nyam-Ochir,M,26.0,174.0,73.0,Mongolia,MGL,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,Bronze
89368,Olga Orban-Szabo (Orbn-Szab),F,18.0,161.0,55.0,Romania,ROU,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Women's Foil, Individual",Silver
127007,Armin Vock,M,23.0,167.0,63.0,Switzerland,SUI,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Team All-Around,
64251,Zbynk Krompolc,M,15.0,166.0,50.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
20022,Sylvain Chavanel Albira,M,25.0,181.0,70.0,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",
10399,Rolf ge Berg,M,26.0,180.0,72.0,Norway,NOR,1984 Winter,1984,Winter,Sarajevo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
3752,"Karen Margrete Andersen (Friis-, -Jrgensen)",F,19.0,,,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Platform,
128339,Anne Walton,F,16.0,172.0,66.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Backstroke,
113163,Darius Songaila,M,34.0,204.0,110.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
74082,Tatyana Malinina (-Skornyakova),F,25.0,160.0,48.0,Uzbekistan,UZB,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Women's Singles,
32937,"Marius Eriksen, Jr.",M,25.0,,,Norway,NOR,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Combined,
130822,Ellen Bernice Wilson,F,24.0,157.0,57.0,United States,USA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Lightweight,
122392,Mitsuo Tsukahara,M,20.0,167.0,66.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Gold
62193,Nikolay Kolev,M,23.0,188.0,90.0,Bulgaria,BUL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,
