ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
19691,"Wan Hei ""Matthew"" Chan",M,28.0,174.0,63.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",
85354,Jakob Neser,M,28.0,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
26276,Mauricio de la Lama,M,44.0,171.0,69.0,Acipactli,MEX,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,
133889,Luciano Zampatti,M,,,,Italy,ITA,1928 Winter,1928,Winter,Sankt Moritz,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
65780,Shaul Paul Ladany,M,36.0,162.0,67.0,Israel,ISR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 50 kilometres Walk,
128879,Haruka Watanabe,F,25.0,165.0,54.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,
71424,Marcelino Lpez Soza,M,25.0,176.0,63.0,Nicaragua,NCA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Freestyle,
36408,Hildegunn Fossen (-Mikkelsplass),F,22.0,167.0,60.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay,
2782,David Alkon Gruspan,M,35.0,184.0,87.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Trap,
89179,Kiyoko Ono (Oizumi-),F,24.0,157.0,60.0,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,
74144,Bror Teodor Malm,M,18.0,,,Sweden,SWE,1908 Summer,1908,Summer,London,Football,Football Men's Football,
6163,Issam Awarke,M,24.0,175.0,74.0,Lebanon,LIB,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
39124,Lise Marie Gautreau (-Robichaud),F,21.0,159.0,50.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
118881,Frederick Winslow Taylor,M,44.0,,,United States,USA,1900 Summer,1900,Summer,Paris,Golf,Golf Men's Individual,
47633,Ernest John Henley,M,23.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
101664,Jacques Auguste Grard Rodocanachi,M,26.0,,,France,FRA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",
131816,Wu Seon-Hui,F,38.0,171.0,58.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
88736,Sara de Jesus Freitas de Oliveira,F,26.0,166.0,55.0,Portugal,POR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,
104485,Mariko Sakai,F,21.0,165.0,,Japan,JPN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,
105779,"Inessa Yevgenyevna Sargsyan (Yemelyanova-, -Korkmaz)",F,28.0,190.0,75.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Silver
26979,Didier Dfago,M,24.0,184.0,89.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,
71374,Horacio Rodolfo Lpez Usera,M,23.0,200.0,92.0,Uruguay,URU,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,
129631,Nina Stephanie Wengert,F,24.0,182.0,72.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,
26199,Bert de Jong,M,24.0,,,Netherlands,NED,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,500 metres",
25193,"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,22.0,173.0,65.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Butterfly,Bronze
81212,Dominique Mollier (-Gindre),F,19.0,172.0,66.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 400 metres Freestyle,
14204,"Antonius Hubertus Maria ""Antoine"" Bouwens",M,23.0,,,Netherlands,NED,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",
18985,Armando Castro,M,15.0,161.0,52.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs,
67938,Lee Hui-Gyeong,F,17.0,,,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,
26672,Charles Fernand Marie Joseph De Sorgher,M,21.0,,,Belgium-2,BEL,1952 Winter,1952,Winter,Oslo,Bobsleigh,Bobsleigh Men's Two,
130872,Nickiesha Wilson,F,22.0,174.0,66.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres Hurdles,
120094,Rolf Bernt Thorsen,M,23.0,191.0,90.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,
26595,de Romand,M,,,,France,FRA,1900 Summer,1900,Summer,Paris,Swimming,"Swimming Men's 4,000 metres Freestyle",
98816,Asha Katherine Randall,F,22.0,178.0,52.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,
41133,Bla Goldovnyi,M,26.0,176.0,78.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
